,School_code,School_name,latest_year_enrolment_FTE,Level_of_schooling,AECG_region,ASGS_remoteness,Latitude,Longitude,Ratio,teacher_demand
1906,8215,Picton High School,1037.0,Secondary School,Dharawal,Inner Regional Australia,-34.194467,150.608418,12.450000000000001,84.0
1907,8216,Queanbeyan High School,524.0,Secondary School,Upper South Coast,Major Cities of Australia,-35.353243,149.220484,12.450000000000001,42.0
1908,8217,Camden High School,1099.1999999999998,Secondary School,Dharawal,Major Cities of Australia,-34.0768,150.6785,12.450000000000001,89.0
1909,8218,Deniliquin High School,512.0,Secondary School,Riverina 2,Inner Regional Australia,-35.53627,144.961269,12.450000000000001,42.0
1910,8219,Hunter River High School,872.6,Secondary School,Hunter,Major Cities of Australia,-32.781835,151.732798,12.450000000000001,70.0
1911,8220,Randwick Girls High School,932.2,Secondary School,Metropolitan East,Major Cities of Australia,-33.921832,151.23944,12.450000000000001,75.0
1912,8221,Kingsgrove North High School,861.0,Secondary School,Metropolitan East,Major Cities of Australia,-33.93398,151.097628,12.450000000000001,70.0
1913,8222,Asquith Girls High School,720.4,Secondary School,Metropolitan North,Major Cities of Australia,-33.689716,151.11275,12.450000000000001,58.0
1914,8223,Bass High School,619.6,Secondary School,Metropolitan South West,Major Cities of Australia,-33.897941,150.989379,12.450000000000001,50.0
1915,8224,Blacktown Girls High School,798.3000000000001,Secondary School,Metropolitan West,Major Cities of Australia,-33.761976,150.910792,12.450000000000001,65.0
1916,8225,Marsden High School,874.1999999999999,Secondary School,Metropolitan North,Major Cities of Australia,-33.803326,151.071124,12.450000000000001,71.0
1917,8227,Merrylands High School,877.6,Secondary School,Metropolitan South West,Major Cities of Australia,-33.840847,150.96957,12.450000000000001,71.0
1918,8229,Northmead Creative and Performing Arts High School,1099.1,Secondary School,Metropolitan West,Major Cities of Australia,-33.788092,150.999661,12.450000000000001,89.0
1919,8230,Port Hacking High School,1189.4,Secondary School,Metropolitan East,Major Cities of Australia,-34.032395,151.097257,12.450000000000001,96.0
1920,8231,Seven Hills High School,318.0,Secondary School,Metropolitan West,Major Cities of Australia,-33.762705,150.94487,12.450000000000001,26.0
1921,8232,Chatswood High School,1561.7,Secondary School,Metropolitan North,Major Cities of Australia,-33.800013,151.175324,12.450000000000001,126.0
1922,8233,Hunter Sports High School,808.7,Secondary School,Hunter,Major Cities of Australia,-32.985494,151.691142,12.450000000000001,65.0
1923,8235,James Ruse Agricultural High School,853.9,Secondary School,Metropolitan West,Major Cities of Australia,-33.780624,151.043204,12.450000000000001,69.0
1924,8236,Blakehurst High School,1061.0,Secondary School,Metropolitan East,Major Cities of Australia,-33.980406,151.11324,12.450000000000001,86.0
1925,8240,Caringbah High School,909.3,Secondary School,Metropolitan East,Major Cities of Australia,-34.034901,151.120399,12.450000000000001,73.0
1926,8241,Moorefield Girls High School,314.0,Secondary School,Metropolitan East,Major Cities of Australia,-33.968311,151.137739,12.450000000000001,26.0
1927,8243,Riverside Girls High School,853.4,Secondary School,Metropolitan North,Major Cities of Australia,-33.840079,151.141467,12.450000000000001,69.0
1928,8244,Blacktown Boys High School,715.0,Secondary School,Metropolitan West,Major Cities of Australia,-33.762057,150.912543,12.450000000000001,58.0
1929,8245,Asquith Boys High School,584.8,Secondary School,Metropolitan North,Major Cities of Australia,-33.692276,151.103016,12.450000000000001,47.0
1930,8246,Heathcote High School,711.5999999999999,Secondary School,Metropolitan East,Major Cities of Australia,-34.082295,151.01441,12.450000000000001,58.0
1931,8247,Kingsgrove High School,822.0,Secondary School,Metropolitan East,Major Cities of Australia,-33.948519,151.101653,12.450000000000001,66.0
1932,8249,Matraville Sports High School,343.8,Secondary School,Metropolitan East,Major Cities of Australia,-33.964747,151.244548,12.450000000000001,28.0
1933,8250,Sir Joseph Banks High School,717.0,Secondary School,Metropolitan South West,Major Cities of Australia,-33.939698,151.020907,12.450000000000001,58.0
1934,8252,Strathfield South High School,650.0,Secondary School,Metropolitan South West,Major Cities of Australia,-33.885382,151.071235,12.450000000000001,53.0
1935,8253,Auburn Girls High School,783.5,Secondary School,Metropolitan South West,Major Cities of Australia,-33.84288,151.033681,12.450000000000001,63.0
1936,8254,Bankstown Girls High School,550.0,Secondary School,Metropolitan South West,Major Cities of Australia,-33.920754,151.032138,12.450000000000001,45.0
1937,8255,Beverly Hills Girls High School,1022.0,Secondary School,Metropolitan South West,Major Cities of Australia,-33.948461,151.078627,12.450000000000001,82.0
1938,8258,Bellingen High School,592.0,Secondary School,Lower North Coast,Outer Regional Australia,-30.455123,152.908442,12.450000000000001,48.0
1939,8259,Callaghan College Wallsend Campus,1114.0,Secondary School,Hunter,Major Cities of Australia,-32.89295,151.669289,12.450000000000001,90.0
1940,8260,Bonnyrigg High School,1687.5,Secondary School,Metropolitan South West,Major Cities of Australia,-33.894982,150.893167,12.450000000000001,136.0
1941,8261,Cronulla High School,1279.0,Secondary School,Metropolitan East,Major Cities of Australia,-34.038439,151.159056,12.450000000000001,103.0
1942,8262,Ingleburn High School,647.0,Secondary School,Metropolitan South West,Major Cities of Australia,-34.005121,150.87152,12.450000000000001,52.0
1943,8263,J J Cahill Memorial High School,320.0,Secondary School,Metropolitan East,Major Cities of Australia,-33.927435,151.201835,12.450000000000001,26.0
1944,8265,Sefton High School,1066.0,Secondary School,Metropolitan South West,Major Cities of Australia,-33.879538,151.008799,12.450000000000001,86.0
